seq1,seq2,energy1,energy2
111011100110010111111000010100001001001,111010100010111000110110110111001010000,1910,1910
100110001001010100010100111010010111111,100011101110000110000011110101101101100,1912,1912
101101000111100110011111110100000101000,100101011010011001111101010000110010011,1908,1908
101011011111110010001110001101000100100,100011001101100001110101000101001011111,1908,1908
101110111011100010110111010000001100001,110111100011100100101010010110110000101,1910,1910
100110001101010001110000010010111011111,100100110110000100011111010010110101011,1914,1914
100101101010001101111111000111010000001,111001101010001100010110011101001001011,1908,1908
110010010101100001000100111111100011110,101011011011101100001110001110101001000,1910,1910
111111110010011101010111000001100001000,111000111011010100101110110010100100100,1912,1912
111011110011010010101100001010100010011,100110100011000100111011111000001110110,1908,1908
100001001001010011110111110011001001011,101010101110111100000011101100011010001,1914,1914
110011110101101000010001100110100010111,111110011100010101101110010011010000010,1908,1908
110111001101011011000010101000001101101,111111101000010100111000111001001101000,1912,1912
101011101011100101111001110011000000100,100101110100011011110100000011100101101,1916,1916
111110110111000101001110100000001110100,100111100110101110001011010110110001000,1908,1908
111101000000001101011001101110011110001,110000101010100111110100110011001011010,1914,1914
111111100110101000001010010110011011000,111101110000101011101100001011000101100,1914,1914
101010111011001000000011100110011110101,110100010100001110110110000111011010011,1912,1912
100110111010110111101000100100001110001,110000010001101101101001010101110001111,1912,1912
110111111010000100011001010011010001110,101111000111011010100010111001011000001,1910,1910
111111110110000110001101000100101101000,111010101000110110011110110001101000010,1914,1914
110000000110100101100010011101011101111,101110101100101011001110000111001000101,1908,1908
110000110100100101010000111001101111110,111100000011100101010101100110010011110,1910,1910
111111101011011010001110010011000010000,101010111001111001000100110111000010110,1916,1916
111000101111110010000100010100101110011,110010011111100101010100100101100111000,1908,1908
100001010010111110111100110100010001110,100010110110100011101000110001001111101,1908,1908
111010010111011110001100000010101001101,101110010011110101100100000111100110010,1912,1912
111111110110001000100101100001110101000,110101001101100110101100011111001010000,1908,1908
110101100110001011100010000010110111011,100110100111100000111011110010101101000,1914,1914
110000011100001001010110100011101111101,101001001101001110101000110010001101111,1916,1916
101100000110101010000010110111101110011,110001010001111100111011000010110110010,1912,1912
111101001011100111000100100000101110110,101100011001011001110100001111110101000,1910,1910
110111100101011101011100100010010000011,101000010011111001011101001011000110011,1912,1912
111001010111011100101000010000111001011,100100100100111111010001100111010001110,1912,1912
110111001111000000100011010101011010011,100100100100111111010001100111010001110,1912,1912
111111110001101011011100100010001010000,110011010011010110101110100000111000110,1912,1912
