series,model,a,b,r2
lead_pair_max,log,2.4908572299644707,-2.432840775756822,0.8590934579902427
lead_pair_max,sqrt,1.2379730188767475,-0.9106431237431601,0.945444670162611
lead_pair_max,power,0.8494493762900935,0.5620006051154403,0.9452321541077722
lead_pair_mean,log,0.9929852409762882,0.48435690004582593,0.90561426596353
lead_pair_mean,sqrt,0.47718080177459327,1.1719465674982825,0.9317397233348382
lead_pair_mean,power,1.3033946539168455,0.3152454747413041,0.9315702749227034
trail_pair_max,log,1.7412561973075835,-1.5916316327167686,0.9024728479787709
trail_pair_max,sqrt,0.8367463986565644,-0.38581833840662216,0.92846923078565
trail_pair_max,power,0.5350405258477815,0.6041634827615873,0.921014017277636
trail_pair_mean,log,0.23545313062324127,1.2790099938891615,0.2983408382195143
trail_pair_mean,sqrt,0.082894256619857,1.5915822539801876,0.16474933396376978
trail_pair_mean,power,1.1779930760376502,0.16665134354416675,0.19340573375735437
