ell,n_classes,lead_pair_max,lead_pair_min,lead_pair_mean,trail_pair_max,trail_pair_min,trail_pair_mean
3,1,2,2,2.0,1,1,1.0
5,1,2,2,2.0,1,1,1.0
7,1,3,3,3.0,2,2,2.0
9,1,2,2,2.0,2,2,2.0
11,2,3,2,2.5,3,2,2.5
13,4,4,3,3.25,3,1,2.0
15,8,4,2,3.125,3,1,2.125
17,7,4,2,3.142857142857143,3,1,2.142857142857143
19,9,4,2,3.111111111111111,3,1,2.2222222222222223
21,22,4,3,3.5,3,1,2.0454545454545454
23,28,5,3,3.5,4,1,2.392857142857143
25,46,5,3,3.5869565217391304,3,1,2.0652173913043477
27,102,6,3,3.696078431372549,4,1,2.1176470588235294
29,139,5,2,3.712230215827338,4,1,1.9712230215827338
31,201,6,2,3.9502487562189055,5,1,2.208955223880597
33,287,6,3,3.9965156794425085,4,1,1.9825783972125435
35,829,7,3,3.9963811821471653,5,1,2.051869722557298
37,680,6,3,4.0323529411764705,5,1,2.088235294117647
39,2316,7,3,4.189119170984456,5,1,2.0328151986183074
41,1463,7,2,4.182501708817498,5,1,2.0704032809295967
45,3059,7,2,4.376920562275253,5,1,2.0052304674730306
51,7758,8,3,4.544856921887084,5,1,2.003609177623099
55,18046,9,3,4.638146957774576,6,1,2.0212235398426244
57,15654,9,3,4.701354286444359,6,1,1.9839657595502747
