i,j,n_valid,denominator,fraction
0,0,93058,590976100,0.00015746491270966794
0,1,20608,130873600,0.00015746491270966794
0,2,3832,25050025,0.00015297389922764548
0,3,552,4008004,0.00013772441344868917
0,4,8,511225,1.5648686977358307e-05
0,5,0,48400,0.0
0,6,0,3025,0.0
0,7,0,100,0.0
0,8,0,1,0.0
1,0,26082,165636900,0.00015746491270966794
1,1,6408,41409225,0.0001547481267760988
1,2,1332,9018009,0.0001477044434087391
1,3,312,1656369,0.0001883638247274611
1,4,8,245025,3.264972961942659e-05
1,5,0,27225,0.0
1,6,0,2025,0.0
1,7,0,81,0.0
1,8,0,1,0.0
2,0,6408,41409225,0.0001547481267760988
2,1,1864,11778624,0.000158252780630403
2,2,354,2944656,0.00012021777756043491
2,3,78,627264,0.00012434955616773797
2,4,2,108900,1.8365472910927457e-05
2,5,0,14400,0.0
2,6,0,1296,0.0
2,7,0,64,0.0
2,8,0,1,0.0
3,0,1244,9018009,0.00013794619189224584
3,1,468,2944656,0.0001589319771137953
3,2,76,853776,8.901632278255655e-05
3,3,16,213444,7.496111392215288e-05
3,4,0,44100,0.0
3,5,0,7056,0.0
3,6,0,784,0.0
3,7,0,49,0.0
3,8,0,1,0.0
4,0,168,1656369,0.00010142667485324828
4,1,104,627264,0.00016579940822365066
4,2,24,213444,0.00011244167088322933
4,3,4,63504,6.298815822625347e-05
4,4,0,15876,0.0
4,5,0,3136,0.0
4,6,0,441,0.0
4,7,0,36,0.0
4,8,0,1,0.0
5,0,0,245025,0.0
5,1,0,108900,0.0
5,2,0,44100,0.0
5,3,0,15876,0.0
5,4,0,4900,0.0
5,5,0,1225,0.0
5,6,0,225,0.0
5,7,0,25,0.0
5,8,0,1,0.0
6,0,0,27225,0.0
6,1,0,14400,0.0
6,2,0,7056,0.0
6,3,0,3136,0.0
6,4,0,1225,0.0
6,5,0,400,0.0
6,6,0,100,0.0
6,7,0,16,0.0
6,8,0,1,0.0
7,0,0,2025,0.0
7,1,0,1296,0.0
7,2,0,784,0.0
7,3,0,441,0.0
7,4,0,225,0.0
7,5,0,100,0.0
7,6,0,36,0.0
7,7,0,9,0.0
7,8,0,1,0.0
8,0,0,81,0.0
8,1,0,64,0.0
8,2,0,49,0.0
8,3,0,36,0.0
8,4,0,25,0.0
8,5,0,16,0.0
8,6,0,9,0.0
8,7,0,4,0.0
8,8,0,1,0.0
9,0,0,1,0.0
9,1,0,1,0.0
9,2,0,1,0.0
9,3,0,1,0.0
9,4,0,1,0.0
9,5,0,1,0.0
9,6,0,1,0.0
9,7,0,1,0.0
9,8,0,1,0.0
