i,j,n_valid,denominator,fraction
0,0,130096358,90324408810638025,1.4403233932845624e-09
0,1,30459605,21147754404155625,1.4403233932845624e-09
0,2,3594551,4605510959127225,7.804892051301675e-10
0,3,442940,925483177280025,4.786051065411739e-10
0,4,84399,169986706031025,4.965066628168195e-10
0,5,1615,28214528710225,5.7255317159660485e-11
0,6,0,4173746850625,
0,7,0,540917591841,
0,8,0,60101954649,
0,9,0,5567099769,
0,10,0,414081801,
0,11,0,23474025,
0,12,0,938961,
0,13,0,23409,
0,14,0,289,
0,15,0,1,
1,0,34656262,24061445010950400,1.4403233932845624e-09
1,1,8638763,6015361252737600,1.4361171634290513e-09
1,2,986758,1401915345465600,7.038645389578059e-10
1,3,142531,302198588499600,4.71647438287828e-10
1,4,34040,59693548345600,5.702599953704719e-10
1,5,1268,10684791937600,1.1870260788509158e-10
1,6,0,1709566710016,
1,7,0,240407818596,
1,8,0,29085255936,
1,9,0,2944581696,
1,10,0,240374016,
1,11,0,15023376,
1,12,0,665856,
1,13,0,18496,
1,14,0,256,
1,15,0,1,
2,0,8638763,6015361252737600,1.4361171634290513e-09
2,1,2351105,1609341595560000,1.4609115855553507e-09
2,2,301830,402335398890000,7.501971451101483e-10
2,3,34590,93271169290000,3.7085581693287854e-10
2,4,13200,19868414760000,6.643902011556028e-10
2,5,316,3846525097536,8.218631084595635e-11
2,6,0,667799496100,
2,7,0,102252852900,
2,8,0,13521038400,
2,9,0,1502337600,
2,10,0,135210384,
2,11,0,9363600,
2,12,0,462400,
2,13,0,14400,
2,14,0,225,
2,15,0,1,
3,0,972851,1401915345465600,6.939447098394326e-10
3,1,251953,402335398890000,6.262277267963337e-10
3,2,61781,108172480360000,5.711415957223386e-10
3,3,5779,27043120090000,2.1372820129971526e-10
3,4,1254,6230734868736,2.0134287115142302e-10
3,5,27,1308887012356,2.07182595318405e-11
3,6,0,247426656400,
3,7,0,41408180100,
3,8,0,6009350400,
3,9,0,736145424,
3,10,0,73410624,
3,11,0,5664400,
3,12,0,313600,
3,13,0,11025,
3,14,0,196,
3,15,0,1,
4,0,167019,302198588499600,5.52681150158662e-10
4,1,51172,93271169290000,5.486371156096869e-10
4,2,11366,27043120090000,4.2029219610520776e-10
4,3,1186,7312459672336,1.6228301369339597e-10
4,4,112,1828114918084,6.150703309224068e-11
4,5,0,418151049316,
4,6,0,86394844900,
4,7,0,15868440900,
4,8,0,2538950544,
4,9,0,344622096,
4,10,0,38291344,
4,11,0,3312400,
4,12,0,207025,
4,13,0,8281,
4,14,0,169,
4,15,0,1,
5,0,13996,59693548345600,2.3447246873719016e-10
5,1,6459,19868414760000,3.251304002939532e-10
5,2,1306,6230734868736,2.0967980753577498e-10
5,3,248,1828114918084,1.359331029684717e-10
5,4,0,497634306624,
5,5,0,124408576656,
5,6,0,28210561600,
5,7,0,5712638724,
5,8,0,1012766976,
5,9,0,153165376,
5,10,0,19079424,
5,11,0,1863225,
5,12,0,132496,
5,13,0,6084,
5,14,0,144,
5,15,0,1,
6,0,62,10684791937600,5.810721034733885e-12
6,1,63,3846525097536,1.64284375408142e-11
6,2,13,1308887012356,1.0359129765920305e-11
6,3,0,418151049316,
6,4,0,124408576656,
6,5,0,34134779536,
6,6,0,8533694884,
6,7,0,1914762564,
6,8,0,378224704,
6,9,0,64128064,
6,10,0,9018009,
6,11,0,1002001,
6,12,0,81796,
6,13,0,4356,
6,14,0,121,
6,15,0,1,
7,0,0,1709566710016,
7,1,0,667799496100,
7,2,0,247426656400,
7,3,0,86394844900,
7,4,0,28210561600,
7,5,0,8533694884,
7,6,0,2363904400,
7,7,0,590976100,
7,8,0,130873600,
7,9,0,25050025,
7,10,0,4008004,
7,11,0,511225,
7,12,0,48400,
7,13,0,3025,
7,14,0,100,
7,15,0,1,
8,0,0,240407818596,
8,1,0,102252852900,
8,2,0,41408180100,
8,3,0,15868440900,
8,4,0,5712638724,
8,5,0,1914762564,
8,6,0,590976100,
8,7,0,165636900,
8,8,0,41409225,
8,9,0,9018009,
8,10,0,1656369,
8,11,0,245025,
8,12,0,27225,
8,13,0,2025,
8,14,0,81,
8,15,0,1,
9,0,0,29085255936,
9,1,0,13521038400,
9,2,0,6009350400,
9,3,0,2538950544,
9,4,0,1012766976,
9,5,0,378224704,
9,6,0,130873600,
9,7,0,41409225,
9,8,0,11778624,
9,9,0,2944656,
9,10,0,627264,
9,11,0,108900,
9,12,0,14400,
9,13,0,1296,
9,14,0,64,
9,15,0,1,
10,0,0,2944581696,
10,1,0,1502337600,
10,2,0,736145424,
10,3,0,344622096,
10,4,0,153165376,
10,5,0,64128064,
10,6,0,25050025,
10,7,0,9018009,
10,8,0,2944656,
10,9,0,853776,
10,10,0,213444,
10,11,0,44100,
10,12,0,7056,
10,13,0,784,
10,14,0,49,
10,15,0,1,
11,0,0,240374016,
11,1,0,135210384,
11,2,0,73410624,
11,3,0,38291344,
11,4,0,19079424,
11,5,0,9018009,
11,6,0,4008004,
11,7,0,1656369,
11,8,0,627264,
11,9,0,213444,
11,10,0,63504,
11,11,0,15876,
11,12,0,3136,
11,13,0,441,
11,14,0,36,
11,15,0,1,
12,0,0,15023376,
12,1,0,9363600,
12,2,0,5664400,
12,3,0,3312400,
12,4,0,1863225,
12,5,0,1002001,
12,6,0,511225,
12,7,0,245025,
12,8,0,108900,
12,9,0,44100,
12,10,0,15876,
12,11,0,4900,
12,12,0,1225,
12,13,0,225,
12,14,0,25,
12,15,0,1,
13,0,0,665856,
13,1,0,462400,
13,2,0,313600,
13,3,0,207025,
13,4,0,132496,
13,5,0,81796,
13,6,0,48400,
13,7,0,27225,
13,8,0,14400,
13,9,0,7056,
13,10,0,3136,
13,11,0,1225,
13,12,0,400,
13,13,0,100,
13,14,0,16,
13,15,0,1,
14,0,0,18496,
14,1,0,14400,
14,2,0,11025,
14,3,0,8281,
14,4,0,6084,
14,5,0,4356,
14,6,0,3025,
14,7,0,2025,
14,8,0,1296,
14,9,0,784,
14,10,0,441,
14,11,0,225,
14,12,0,100,
14,13,0,36,
14,14,0,9,
14,15,0,1,
15,0,0,256,
15,1,0,225,
15,2,0,196,
15,3,0,169,
15,4,0,144,
15,5,0,121,
15,6,0,100,
15,7,0,81,
15,8,0,64,
15,9,0,49,
15,10,0,36,
15,11,0,25,
15,12,0,16,
15,13,0,9,
15,14,0,4,
15,15,0,1,
16,0,0,1,
16,1,0,1,
16,2,0,1,
16,3,0,1,
16,4,0,1,
16,5,0,1,
16,6,0,1,
16,7,0,1,
16,8,0,1,
16,9,0,1,
16,10,0,1,
16,11,0,1,
16,12,0,1,
16,13,0,1,
16,14,0,1,
16,15,0,1,
