i,j,intercept,slope,n_exact_points
0,0,3.654441806552586,-0.7746077411759764,13
0,1,3.654441806552586,-0.7746077411759764,13
0,2,4.677376564690304,-0.8273702184345122,11
0,3,5.3643287275065825,-0.8653056128474269,9
0,4,2.426403521134254,-0.769349281745064,6
0,5,3.799351838704271,-0.8833178206567716,3
1,0,3.654441806552586,-0.7746077411759764,13
1,1,3.608197460783004,-0.7732103303322588,13
1,2,4.904501407721205,-0.8380302129761036,11
1,3,6.098703131545342,-0.8894674997992447,9
1,4,3.939859526267889,-0.8137028468753428,6
1,5,4.757560350068686,-0.8907083933624083,3
2,0,3.608197460783004,-0.7732103303322588,13
2,1,3.563717600261128,-0.7712233168599802,13
2,2,4.228154741184116,-0.8141561233863587,11
2,3,5.787637217050183,-0.887188547726226,9
2,4,2.905395155927541,-0.775404730407642,6
2,5,6.762545180247028,-0.9672444368613746,3
3,0,4.626720139885955,-0.8295273860419576,11
3,1,5.298834588419671,-0.8545206973734034,11
3,2,4.397886559739921,-0.828428081234067,11
3,3,5.67743650263775,-0.9014113709088234,9
3,4,3.508156486256195,-0.8333602684119825,5
3,5,11.19697672294577,-1.154741368530314,2
4,0,3.876648077637382,-0.8126738045265317,8
4,1,5.257336709758684,-0.8574490514300791,8
4,2,5.035584819999099,-0.8588921213396252,8
4,3,4.627883783563542,-0.8764375190444698,7
4,4,5.393933843441342,-0.9324452719958874,4
5,0,2.722515697862611,-0.8031031818355815,4
5,1,4.8341242363530945,-0.860674807056455,4
5,2,6.359501014300474,-0.9240303383583645,4
5,3,4.188956050709089,-0.8679940094147366,3
6,0,6.656680427137124,-1.0492902218560671,2
6,1,7.074726313807817,-1.0292494709726197,2
6,2,10.50382954238575,-1.1547413685303114,2
