series,model,a,b,r2
lead_max,log,3.7432034930427265,-3.982982353228608,0.9323635505695049
lead_max,sqrt,1.825769913469538,-1.5243025867359057,0.9882379384796381
lead_max,power,0.9979946258345798,0.6253963922203662,0.989225425102423
lead_mean,log,1.7299503307133346,-0.524293957061647,0.9675601795024864
lead_mean,sqrt,0.8278741490498698,0.6906896667018566,0.9872118949194494
lead_mean,power,1.2479468621574836,0.4226287636714806,0.9897991724132515
trail_max,log,2.999281621476699,-3.7008617740907575,0.9022297707503234
trail_max,sqrt,1.4724492462671737,-1.7779310491950926,0.9688004834168218
trail_max,power,0.5378103523169844,0.7165067525339933,0.9734832620306973
trail_mean,log,0.4834227609697062,1.0878899246612168,0.6648424076211741
trail_mean,sqrt,0.19804196989071787,1.5920107769073828,0.497107159248536
trail_mean,power,1.1676380456515598,0.24980661986579952,0.5259056428879421
