ell,n_classes,lead_max,lead_min,lead_mean,trail_max,trail_min,trail_mean,lead_pair_max,trail_pair_max
3,1,2,2,2.0,1,1,1.0,2,1
5,1,3,2,2.5,2,1,1.5,2,1
7,1,3,3,3.0,2,2,2.0,3,2
9,1,4,2,3.0,3,2,2.5,2,2
11,2,4,2,3.0,4,2,3.0,3,3
13,4,5,3,3.75,3,1,2.375,4,3
15,8,6,2,3.9375,3,1,2.4375,4,3
17,7,6,2,4.214285714285714,4,1,2.642857142857143,4,3
19,9,6,2,4.277777777777778,4,1,2.7222222222222223,4,3
21,22,7,3,4.545454545454546,5,1,2.590909090909091,4,3
23,28,7,3,4.839285714285714,5,1,2.8392857142857144,5,4
25,46,7,3,4.989130434782608,6,1,2.8043478260869565,5,3
27,102,8,3,5.1568627450980395,6,1,2.784313725490196,6,4
29,139,8,2,5.233812949640288,6,1,2.658273381294964,5,4
31,201,9,2,5.467661691542289,6,1,2.870646766169154,6,5
33,287,9,3,5.494773519163763,7,1,2.745644599303136,6,4
35,829,9,3,5.6652593486127865,7,1,2.7683956574185764,7,5
37,680,10,3,5.836764705882353,7,1,2.8264705882352943,6,5
39,2316,10,3,5.85146804835924,7,1,2.7506476683937824,7,5
41,1463,10,2,6.0878332194121665,8,1,2.7983595352016404,7,5
45,3059,11,2,6.106570774762995,8,1,2.759725400457666,7,5
51,7758,12,3,6.4492781644753805,9,1,2.7623743232791957,8,5
55,18046,12,3,6.676022387232628,9,1,2.803391333259448,9,6
57,15654,12,3,6.7039734253226015,10,1,2.760764021975214,9,6
