ell,route,m,seconds_median,seconds_min,repeats
3,A,,9.078999937628396e-05,8.031699871935416e-05,3
3,brute,,9.44399998843437e-05,9.075700108951423e-05,3
5,A,,0.00027504400168254506,0.00026991999948222656,3
5,brute,,0.0003253070008213399,0.00031970599957276136,3
7,A,,0.0008390589991904562,0.0008387630005017854,3
7,brute,,0.0008758889998716768,0.0008753599995543482,3
9,A,,0.0028626719995372696,0.0028249870010768063,3
9,brute,,0.003369051000845502,0.0033079280001402367,3
9,B,3,0.022686213000270072,0.02236733599966101,3
11,A,,0.010736934000306064,0.010656211999958032,3
11,brute,,0.0118281510003726,0.01142599800004973,3
13,A,,0.02734345899989421,0.025795208999625174,3
13,brute,,0.026340688000345835,0.02592555000046559,3
15,A,,0.08263159799935238,0.08182335999845236,3
15,brute,,0.09204771199983952,0.0898253389987076,3
15,B,5,0.6738614770001732,0.6642388489999576,3
17,A,,0.33190084799934993,0.33075140499931877,3
17,brute,,0.34046126600151183,0.33682224999938626,3
19,A,,0.655915608000214,0.6310711210007867,3
19,brute,,0.6809309680011211,0.669780701999116,3
21,A,,1.4060997560009127,1.3739353269993444,3
21,brute,,1.5963536850013043,1.582869710999148,3
