canonical_u,canonical_v,mine,mine_index,friend,friend_index
++++++++-+---++-+--+---++----,++++-+--++---++-+-+-+-++--+--,X,67,X,74
++++++++-+---++--+--+-+-+----,++++--+--+-+--++--++-+-+++---,X,80,X,36
++++++++-+---++----+-++--+---,++++--+--++-+-++-+-+-+--++---,X,104,X,84
++++++++-+----++--+--+--++---,+++-+-+--+-+-++-++---+++---+-,X,66,X,130
++++++++--++---+--+--+-++----,+++-+--+-+-+--+++--+++-+---+-,X,19,X,110
++++++++--+-+-++--+-+---+----,++++---+-++-+-++--++--++-+---,X,8,X,128
++++++++--+-+-+---++--+--+---,++++--+-++-++---+++-+-+--+---,X,91,X,121
++++++++--+-+-+---+-++----+--,+++-++----+++--+-++--++-+-+--,X,118,X,76
++++++++--+--++--++----+-+---,+++-+-++--+-++-+-+--+++----+-,X,34,X,78
++++++++--+--++---+-+-+--+---,+++-++--+-++-++-+-+----+++---,X,123,X,33
++++++++--+--+-++----++---+--,+++-++---++-+---+++-+-+-+--+-,X,82,X,5
++++++++--+--+-+-+-+----++---,+++-++---++-++-++-+---++-+---,X,54,X,127
++++++++--+--+-+-+---+-++----,+++-++-+---++---++-++---++-+-,X,130,X,6
++++++++--+---+-++----+-++---,+++-++--+--+-++-+-+-+---+++--,X,124,X,29
++++++++--+----++----+++-+---,++-++-+-++--+-+-+-++-+---++--,X,4,X,87
++++++++---++--+--+-+--+-+---,+++++--++--+-++-++---+-+-+---,X,96,X,77
++++++++---++--+--+--+--++---,++++-+----++-+-+-+++--+-+-+--,X,18,X,132
+++++++-++-+----+---++-++----,+++-+---+++--++-+--++-+-+-+--,X,43,X,136
+++++++-++--++---+-+--+-+----,+++++---+-++--++-+-++--+-+---,X,57,X,123
+++++++-++--++----++-+--+----,+++-++--+++-+--+-+-+-+-++----,X,55,X,34
+++++++-++--+-++---+-+-+-----,+++-+---+--+++--+++--+-++-+--,X,127,X,79
+++++++-++--+-+--+-+--++-----,++++-+-+-+-++----++--++-++---,X,93,X,39
+++++++-++--+--+-+---+++-----,+++-++--++-+-+++---+-+--+-+--,X,15,X,124
+++++++-++--+---+-+--+-+-+---,+++-++----+++--++-++-+-++----,X,51,X,105
+++++++-++---+-+-++-----++---,++++-+---+-+-++-+--++--++-+--,X,45,X,81
+++++++-++---+-+-+--+--++----,+++-+++-+--++-+-++---++-+----,X,28,X,98
+++++++-++---+-+--+--++-+----,+++-+-++--+++-----++-+-+-++--,X,30,X,109
+++++++-++---+-+---++-+----+-,+++-+---+++--++--+-++-++-+---,X,11,X,115
+++++++-++---+-+---+-++---+--,+++-+-++----+-+++--+-++-++---,X,27,X,126
+++++++-++---+---+-+--++-+---,+++-++---+++----++-++-+-+--+-,X,22,X,134
+++++++-++----++----+-++-+---,+++-+++--+--+-+-+-++--++-+---,X,64,X,72
+++++++-+-++--+-+--+--++-----,+++-+++--+-+---++-+--+++-+---,X,25,X,114
+++++++-+-++---+-+-+--++-----,++++--++-++-+----++-+-+--++--,X,74,X,57
+++++++-+-++---+--+-+--++----,+++++--++---+-+-+--++-++-+---,X,105,X,60
+++++++-+-+-++---+-+--++-----,++++-++--+-+---++-++---++-+--,X,97,X,96
+++++++-+-+-+--+--++---++----,+++++-+--+-+++--++--+--+-+---,X,131,X,12
+++++++-+-+-+--+--++---++----,+++-+--+++-+-----++-++-+-++--,X,132,X,13
+++++++-+-+-+----+--++-++----,++++--+++--+-++-+-+---++--+--,X,69,X,19
+++++++-+-+--++-++----++-----,+++-+-++-+-+---+--+++--+-++--,X,38,X,44
+++++++-+-+--++--++----++----,+++-+-++-+----+-+++--+--++-+-,X,39,X,18
+++++++-+-+--+--++-+---++----,+++++-+--+++--++---+-+-+--+--,X,50,X,58
+++++++-+-+--+---+-++----++--,++++-+----+++--++-+-+-++--+--,X,37,X,100
+++++++-+-+---++-++----+-+---,+++-+++--+-+++--+--+--+-++---,X,41,X,122
+++++++-+-+---++-+--+-+---+--,++++-+--++++---+--++-+---++--,X,21,X,86
+++++++-+-+---++-+---+--++---,+++-+-++-+--+++--++-++-+-----,X,23,X,45
+++++++-+-+---+--+---++-++---,++++--++----+++-+-+-++-+--+--,X,79,X,131
+++++++-+-+----+--+-+-++--+--,+++-+---+-++-++--+++--+++----,X,52,X,107
+++++++-+-+-----++---+++--+--,+++-++--+-+-++-+---+++--+--+-,X,47,X,133
+++++++-+--+++--++--+--+-----,++++--+-+-+-+---++-+-++-++---,X,89,X,68
+++++++-+--+++--++--+--+-----,+++-++---+++---+-++-+--+-+-+-,X,90,X,67
+++++++-+--+++----++-+---+---,+++-++-+-+-+----++-++-+--++--,X,33,X,138
+++++++-+--++-+-+-+--+-+-----,++++-++---+++--+--++---+-++--,X,3,X,69
+++++++-+--++--+-+-+----++---,+++++-+-+---++-++---++-+--+--,X,134,X,15
+++++++-+--++--+-+---++--+---,++++---++-+-+-+++-++-+--+----,X,29,X,30
+++++++-+--++--+-+---++----+-,++++-+---+-+--+++-+--+++--+--,X,98,X,49
+++++++-+--++---++----+-++---,++++-+--+--++-+++-+-+-+--+---,X,106,X,61
+++++++-+--++---+--++-+--+---,+++++--++-+-++-+-+-+---++----,X,92,X,40
+++++++-+--++---+---++-+---+-,++++--+-++---+-++-+-+++---+--,X,53,X,125
+++++++-+--+-++-+---+---++---,++++-+-+-+----+++--++-++--+--,X,32,X,93
+++++++-+--+-++---+-++----+--,+++++--++--++----++-+-+-+-+--,X,129,X,88
+++++++-+--+-++---+-+-+---+--,++++-+--++-++--+++---++----+-,X,68,X,116
+++++++-+--+-+---+--+++----+-,+++-++--++-++-+--+++---+-+---,X,49,X,38
+++++++-+--+--++-+----++---+-,++++-+--+-+-+-+++----++--++--,X,125,X,37
+++++++-+--+--+--+---+++---+-,++++-+-+-+--+-+++--++--++----,X,126,X,8
+++++++-+--+--+----+++-+---+-,+++-+--+++-+--+-+---+++--++--,X,70,X,2
+++++++-+--+---++---+--++-+--,++++-+-+-+---++-+--++++---+--,X,88,X,113
+++++++-+--+---+-++---+-++---,++++-++--+-+-+++---+---++-+--,X,0,X,103
+++++++-+---++-++---+----++--,+++-+-++-+--+-+++-+---+-++---,X,48,X,46
+++++++-+---++-+--+-+-+---+--,++++---+++-+++--++-+--+--+---,X,36,X,26
+++++++-+---++-+--+-+---+-+--,++++--+---++---++-++-+++-+---,X,110,X,53
+++++++-+---++--+-+--+-+---+-,+++-++-+--++--+++-----+++--+-,X,46,X,82
+++++++-+---+-+++----+---++--,+++-++-+-++-+---++-+--++-+---,X,31,X,52
+++++++-+---+-+--++---++-+---,++++-+++--+---+-++---+-++-+--,X,87,X,62
+++++++-+---+-+--+--+-+-++---,++++-+---+--+--++-+++--+++---,X,13,X,92
+++++++-+-----+-++--+---+++--,++++--+-+--+-+-+-++--++-++---,X,1,X,101
+++++++-+-----+-++---+-++-+--,++++--++-++---++-+-+-+---++--,X,113,X,99
+++++++--+++---+-+-+--++-----,+++-++-+-+-++-++--+-++----+--,X,14,X,16
+++++++--++-++---+-+-+--+----,++++-++-++----++-+-+-+--++---,X,44,X,35
+++++++--++-+-+-+--++-----+--,++++--+-+++---+--+++-+--+-+--,X,77,X,117
+++++++--++-+-+--+-++--+-----,++++-+--++---+-++---+-+-+++--,X,61,X,3
+++++++--++-+--+-+-+--++-----,++++-++--+--+-+-+---+++---++-,X,133,X,11
+++++++--++--+---+-+--+++----,+++++-+-+-+--+-++---++--+--+-,X,16,X,89
+++++++--++--+---+-+--+-++---,+++++-+-+-+--+++--+-++--+----,X,17,X,90
+++++++--++--+----+-++-+-+---,+++-+-+++-+--+++--+-++--+----,X,6,X,91
+++++++--+-+++---++-+---+----,++++-+-+--+--+--++--+++-+-+--,X,9,X,135
+++++++--+-++--++--+-+-+-----,++++-++--+++---++-+---+-+--+-,X,108,X,47
+++++++--+-++--+-+-+--+---+--,++++-++--+-+-+----++++---++--,X,35,X,80
+++++++--+-++---++----+-+-+--,++++-+---+-++-+++-+--++---+--,X,119,X,27
+++++++--+-++---+---+-+-++---,++++-++-+--+---+-+++--++-+---,X,7,X,129
+++++++--+-+-+-+--+--+--++---,++++-+-+++-----++--+++--+--+-,X,116,X,17
+++++++--+-+--++--+---++-+---,++++-+-++--++-+-+++-----+-+--,X,102,X,42
+++++++--+--++-+-+-+---++----,++++-++-++---+++--+---+-+--+-,X,103,X,63
+++++++--+---+--+-+--+-+++---,+++-+++-+-+--++-++-+---++----,X,128,X,24
++++++-+++-+----+-+-++----+--,++++--++-+--++-+-+---++-++---,X,84,X,119
++++++-+++--++--+-+--+-+-----,+++-++---+-++--+-+++-+-++----,X,72,X,106
++++++-+++--+--+-+--+--++----,++++-+-++--++----+++-+-+---+-,X,10,X,97
++++++-+++---+-+--+--++----+-,+++++--+--++-+-+--+++--+-+---,X,100,X,66
++++++-+++---+-+--+--++----+-,++++--++-+-+-+--+--+++-++----,X,99,X,65
++++++-++-++-+---++--++------,++++-+-+-+-++--+-++-+---++---,X,114,X,73
++++++-++-+-+-++----+--++----,++++-++--+--+-+-+++-+---++---,X,63,X,71
++++++-++-+-+-+--++--++------,+++-++-++-+--++-+-+----+++---,X,2,X,104
++++++-++-+-+-+--++--+----+--,++++-+----+++---+++-+-++--+--,X,120,X,48
++++++-++-+-+--++--+-+--+----,+++-++--++-+-+++---+++-----+-,X,107,X,118
++++++-++-+-+-----+++---+-+--,+++-++-+---+++-++---++--+--+-,X,5,X,54
++++++-++-+-+------++-++-+---,++++--+-++--++--+++---+-+-+--,X,109,X,102
++++++-++-+--+++--+-+---+----,+++-+++-+---+-++-+---+++--+--,X,81,X,120
++++++-++-+--++--++----+-+---,++++-++---+-+-+---++++--+--+-,X,135,X,14
++++++-++-+--++---+--++-+----,+++-+++-+-++-----++-+-+-++---,X,75,X,94
++++++-++-+---+++--+---+---+-,++++-+-+--+++----++-+-++--+--,X,73,X,56
++++++-++-+---+++---++--+----,+++-++-+--+++-+----+--++-+-+-,X,20,X,50
++++++-++-+---+-+-++----+--+-,++++-+-+---++--++--+--++++---,X,111,X,59
++++++-++-+---+-+--+-++---+--,++++-+++--++--+-+---+-+++----,X,59,X,21
++++++-++-+-----++--++---+-+-,+++++---++--+-++--+-+-++-+---,X,101,X,55
++++++-++--+++----++-+-----+-,+++-++-+--+-+-+-+++--+--++---,X,117,X,7
++++++-++--++-++----++---+---,++++-+-+-+----++-+-++-++-+---,X,62,X,28
++++++-++--++----++-+--+-+---,++++-++-+-++---+---+-+++-+---,X,121,X,75
++++++-++--+--+++---+---+-+--,++++-+--+----+++-+-+--+++-+--,X,76,X,43
++++++-++--+---+--+-+--+++---,++++-+-+---+-++-++----+-+++--,X,58,X,31
++++++-++--+----++-+-+---++--,+++-+-++-+--+++-----+-+++-+--,X,78,X,111
++++++-++---+-++--+-+--+---+-,+++-+++-+----+++----++-+-++--,X,95,X,22
++++++-++---+--+-++-----+++--,+++-++----++--+-+-+++-+-+--+-,X,65,X,70
++++++-++---+---+-+--++++----,+++-++-+-+-++----++--+-+--++-,X,12,X,85
++++++-++----+++-+---+--+-+--,+++++-+-+--++----++-+-+--++--,X,83,X,108
++++++-++----+++--+--+-+---+-,+++-++--+-+-++-----++-+-+++--,X,85,X,25
++++++-+-+++-----++--+-+---+-,+++-++-+----++-++--+++--+-+--,X,94,X,4
++++++-+-++--+---++-+-+-+----,+++++-++--+-++----+-++---++--,X,71,X,112
++++++-+-++---+--+---+++---+-,+++-+++-+--+--+-+--++-+++----,X,56,X,83
++++++-+-++---+----+-+++---+-,++++--+--+-+--++-+++-+--++---,X,26,X,95
++++++-+-+-+--+-++---+--++---,+++++-+-++--+++--+-++--+-----,X,42,X,137
++++++-+-+--+--+---+++-+---+-,++++--+-++-+++--+++---+--+---,X,60,X,9
++++++-+-+---+--+---++-++-+--,++++-+---+---+++-++-+--+++---,X,115,X,51
++++++-+-+----++-++-----+++--,++++-+-+-+--+--+--+-+++--++--,X,40,X,64
++++++-+-+-----++-+--+--+++--,++++-++----+-+-+-++--++-++---,X,24,X,41
++++++-+--++----+--+-+++--+--,+++++-+-+--+---+-+-++--+++---,X,112,X,20
++++++-+---+++--++-----+-++--,++++--+-+-++-+++-+-+--+--+---,X,122,X,32
+++++-+++----+++--+--+-+--+--,++++-++-+++-+---+-+-++---+---,X,86,X,23
+++++-++-----++-+-+--++-+-+--,++++-+---+--+---+-++++--+++--,X,137,X,10
+++++-++-----++-+-+--++-+-+--,++++---+++-+++-++-+--+---+---,X,136,X,1
++++-+---+--+---+-++++--+++--,+++-++-+++-+----++-+-++----+-,X,138,X,0
