ell,rule,i,j,n_valid_ground_truth,denominator,fraction,seeds,success_frac,median_ttf,ceiling
3,current_argmax,0,0,9,9,1.0,24,1.0,1.4110003121459158e-06,0.5
3,p75_leading,2,1,1,1,1.0,24,1.0,1.2780001270584762e-06,0.5
3,max_envelope,1,1,1,1,1.0,24,1.0,1.2345001323410543e-06,0.5
5,current_argmax,0,0,50,100,0.5,24,1.0,6.225000106496736e-06,0.5
5,p75_leading,2,1,2,4,0.5,24,1.0,4.19449997934862e-06,0.5
5,max_envelope,2,1,2,4,0.5,24,1.0,4.21049981014221e-06,0.5
7,current_argmax,3,1,4,9,0.4444444444444444,24,1.0,3.041500121980789e-06,0.5
7,p75_leading,3,1,4,9,0.4444444444444444,24,1.0,3.0600001537095523e-06,0.5
7,max_envelope,2,2,1,9,0.1111111111111111,24,1.0,5.681999937223736e-06,0.5
9,current_argmax,3,1,8,100,0.08,24,1.0,1.967399998648034e-05,0.5
9,p75_leading,3,1,8,100,0.08,24,1.0,1.9957500171585707e-05,0.5
9,max_envelope,3,2,2,36,0.05555555555555555,24,1.0,2.1926500039626262e-05,0.5
11,current_argmax,1,3,8,441,0.018140589569160998,24,1.0,2.6085499939654255e-05,0.5
11,p75_leading,3,1,12,1225,0.009795918367346938,24,1.0,5.0774999863278936e-05,0.5
11,max_envelope,3,2,1,400,0.0025,24,1.0,6.949800012989726e-05,0.5
13,current_argmax,3,3,4,1225,0.0032653061224489797,24,1.0,0.00012084400032108533,0.5
13,p75_leading,3,1,50,15876,0.0031494079113126732,24,1.0,0.00022939000018595834,0.5
13,max_envelope,4,3,0,400,0.0,24,0.0,,0.5
15,current_argmax,1,3,124,108900,0.0011386593204775024,24,1.0,0.0002658524997514178,0.5
15,p75_leading,3,1,204,213444,0.0009557542025074492,24,1.0,0.0004562659999010066,0.5
15,max_envelope,4,3,1,4900,0.00020408163265306123,24,1.0,0.00019533399995452783,0.5
17,current_argmax,1,3,312,1656369,0.0001883638247274611,24,1.0,0.0009920470001816284,0.5
17,p75_leading,3,1,468,2944656,0.0001589319771137953,24,1.0,0.0012656315000185714,0.5
17,max_envelope,4,3,4,63504,6.298815822625347e-05,24,1.0,0.001647881499820869,0.5
19,current_argmax,1,3,520,25050025,2.0758462316903876e-05,24,1.0,0.0033664170000520244,0.5
19,p75_leading,4,1,152,9018009,1.6855161710306567e-05,24,1.0,0.0035291935000714147,0.5
19,max_envelope,4,3,2,853776,2.3425348100672776e-06,24,1.0,0.006802440999763348,0.5
21,current_argmax,1,3,1404,378224704,3.7120790502357035e-06,24,1.0,0.011636890500085428,0.5
21,p75_leading,4,1,448,130873600,3.4231502762971296e-06,24,1.0,0.009200933999863992,0.5
21,max_envelope,5,3,0,2944656,0.0,24,0.0,,0.5
23,current_argmax,3,1,5912,8533694884,6.92783147319285e-07,24,1.0,0.026876520000087112,0.5
23,p75_leading,4,1,1308,1914762564,6.831134181292673e-07,24,1.0,0.028949814999805312,0.5
23,max_envelope,5,4,1,11778624,8.489956042403595e-08,24,1.0,0.037063657000089734,0.5
25,current_argmax,3,1,9872,124408576656,7.935144236314909e-08,24,1.0,0.13443953299997702,0.5
25,p75_leading,4,1,1960,28210561600,6.94775250415433e-08,24,1.0,0.10905084050000369,0.5
25,max_envelope,5,4,0,165636900,0.0,24,0.0,,0.5
27,current_argmax,3,1,24928,1828114918084,1.363590426039868e-08,24,1.0,0.46122098449973237,1.041369798001142
27,p75_leading,4,1,5496,418151049316,1.3143575770024267e-08,24,1.0,0.3964537819997531,1.041369798001142
27,max_envelope,6,4,0,590976100,0.0,24,0.0,,1.041369798001142
