ell,rep,i,j,candidate_space,found,seconds,scanned,pruned
3,binary,2,1,1,True,2.3769999643263873e-05,1,False
3,rle,2,1,1,True,8.955399971455336e-05,1,False
5,binary,2,1,2,True,1.264000002265675e-05,2,False
5,rle,2,1,2,True,4.0144999729818664e-05,2,False
7,binary,3,1,3,True,6.086999746912625e-06,1,False
7,rle,3,1,3,True,3.379600002517691e-05,2,False
9,binary,3,1,10,True,2.423900014036917e-05,4,False
9,rle,3,1,10,True,0.00013846199999534292,8,False
11,binary,3,1,35,True,1.5929999790387228e-05,2,False
11,rle,3,1,35,True,0.00025072099970202544,14,False
13,binary,3,1,126,True,6.222199999683653e-05,7,False
13,rle,3,1,126,True,0.0017178500002046349,82,False
15,binary,3,1,462,True,0.0002629709997563623,25,False
15,rle,3,1,462,True,0.004706041000190453,218,False
17,binary,3,1,1716,True,0.0015489070001422078,127,False
17,rle,3,1,1716,True,0.028977177999877313,1063,False
19,binary,4,1,3003,True,0.009017608999783988,559,False
19,rle,4,1,3003,True,0.0468820890000643,1704,False
21,binary,4,1,11440,True,0.02973247199997786,1762,False
21,rle,4,1,11440,True,0.25877272300022014,8218,False
23,binary,4,1,43758,True,0.030047660000036558,1518,False
23,rle,4,1,43758,True,0.8204900099999577,23464,False
25,binary,4,1,167960,True,0.13420941499998662,5666,False
25,rle,4,1,167960,True,4.638915068000188,116022,False
27,binary,4,1,646646,True,0.585976983999899,20850,False
27,rle,4,1,646646,True,14.352444803000253,338701,False
29,binary,4,1,2496144,True,2.423439715999848,80805,False
29,rle,4,1,2496144,False,60.02252095199992,1288192,True
31,binary,4,1,9657700,True,5.0440225250004005,149371,False
31,rle,4,1,9657700,False,60.050971425999705,1215488,True
33,binary,4,1,37442160,True,27.000885877999735,709069,False
33,rle,4,1,37442160,False,60.03367735100028,1140736,True
35,binary,4,1,145422675,True,47.076263828000265,1108573,False
35,rle,4,1,145422675,False,60.032435108999834,1059840,True
37,binary,4,1,565722720,False,60.01887414800012,1280000,True
37,rle,4,1,565722720,False,60.062776479999684,986112,True
