ell,i,j,method,seeds,success_frac,median_ttf,ceiling
3,1,1,rle_exhaustive,3,1.0,2.5740000637597404e-06,0.5
3,0,0,binary_exhaustive,8,1.0,1.528999973743339e-06,0.5
3,0,0,tabu_binary,8,1.0,2.3962999989635136e-05,0.5
3,0,0,tabu_rle,8,1.0,4.799550004008779e-05,0.5
3,0,0,sa_binary,8,1.0,2.0933499968123215e-05,0.5
3,0,0,sa_rle,8,1.0,4.516750016136939e-05,0.5
3,0,0,basinhop_binary,8,1.0,0.00015870999993694568,0.5
3,0,0,basinhop_rle,8,1.0,0.00015260350005519285,0.5
5,1,1,rle_exhaustive,3,1.0,8.03300008556107e-06,0.5
5,0,0,binary_exhaustive,8,1.0,5.959499958407832e-06,0.5
5,0,0,tabu_binary,8,1.0,3.626650004662224e-05,0.5
5,0,0,tabu_rle,8,1.0,6.190249996507191e-05,0.5
5,0,0,sa_binary,8,1.0,3.113949992439302e-05,0.5
5,0,0,sa_rle,8,1.0,6.181849994391087e-05,0.5
5,0,0,basinhop_binary,8,1.0,0.00027593350012011797,0.5
5,0,0,basinhop_rle,8,1.0,0.00028054649999376124,0.5
7,3,1,rle_exhaustive,3,1.0,3.826000011031283e-06,0.5
7,3,1,binary_exhaustive,8,1.0,3.1994999289963744e-06,0.5
7,3,1,tabu_binary,8,1.0,5.405900003552233e-05,0.5
7,3,1,tabu_rle,8,1.0,0.00011383549997390219,0.5
7,3,1,sa_binary,8,1.0,5.35279999667182e-05,0.5
7,3,1,sa_rle,8,1.0,0.0001056094999967172,0.5
7,3,1,basinhop_binary,8,1.0,0.00027434550008820224,0.5
7,3,1,basinhop_rle,8,1.0,0.0003012815000147384,0.5
9,3,1,rle_exhaustive,3,1.0,1.922899991768645e-05,0.5
9,3,1,binary_exhaustive,8,1.0,1.8797500047185167e-05,0.5
9,3,1,tabu_binary,8,1.0,0.00010634899990691338,0.5
9,3,1,tabu_rle,8,1.0,0.0002728929999875618,0.5
9,3,1,sa_binary,8,1.0,0.00010597649998089764,0.5
9,3,1,sa_rle,8,1.0,0.00028898749997097184,0.5
