ell,i,j,method,seeds,success_frac,median_ttf,ceiling
3,1,1,rle_exhaustive,9,1.0,2.225999992333527e-06,0.5
3,0,0,binary_exhaustive,24,1.0,2.2374999844032573e-06,0.5
3,0,0,tabu_binary,24,1.0,2.1306999968828677e-05,0.5
3,0,0,tabu_rle,24,1.0,3.893900000662143e-05,0.5
3,0,0,sa_binary,24,1.0,2.0805000019663566e-05,0.5
3,0,0,sa_rle,24,1.0,4.539099998623897e-05,0.5
3,0,0,basinhop_binary,24,1.0,0.00015879599999379934,0.5
3,0,0,basinhop_rle,24,1.0,0.00015393449999123732,0.5
5,1,1,rle_exhaustive,9,1.0,1.2358999981643137e-05,0.5
5,0,0,binary_exhaustive,24,1.0,1.1358999984167895e-05,0.5
5,0,0,tabu_binary,24,1.0,5.6712499997502164e-05,0.5
5,0,0,tabu_rle,24,1.0,5.8956999993142745e-05,0.5
5,0,0,sa_binary,24,1.0,2.1766499997966093e-05,0.5
5,0,0,sa_rle,24,1.0,8.532450002007863e-05,0.5
5,0,0,basinhop_binary,24,1.0,0.00029282949998332697,0.5
5,0,0,basinhop_rle,24,1.0,0.0002700805000017681,0.5
7,3,1,rle_exhaustive,9,1.0,3.0950000109442044e-06,0.5
7,3,1,binary_exhaustive,24,1.0,3.042999964009141e-06,0.5
7,3,1,tabu_binary,24,1.0,5.863350000367973e-05,0.5
7,3,1,tabu_rle,24,1.0,0.00014958750000459986,0.5
7,3,1,sa_binary,24,1.0,5.7519500018088365e-05,0.5
7,3,1,sa_rle,24,1.0,0.00011452199996142554,0.5
7,3,1,basinhop_binary,24,1.0,0.00027857499998162893,0.5
7,3,1,basinhop_rle,24,1.0,0.00030766800000492367,0.5
9,3,1,rle_exhaustive,9,1.0,2.2069999999985157e-05,0.5
9,3,1,binary_exhaustive,24,1.0,1.9921999978578242e-05,0.5
9,3,1,tabu_binary,24,1.0,0.0001920164999944518,0.5
9,3,1,tabu_rle,24,1.0,0.00030210949998377146,0.5
9,3,1,sa_binary,24,1.0,0.00019328600001244922,0.5
9,3,1,sa_rle,24,1.0,0.0002967830000102367,0.5
9,3,1,basinhop_binary,24,1.0,0.0005458219999923131,0.5
9,3,1,basinhop_rle,24,1.0,0.0007053445000053671,0.5
11,1,3,rle_exhaustive,9,1.0,2.0223999968038697e-05,0.5
11,1,3,binary_exhaustive,24,1.0,2.5573000016265723e-05,0.5
11,1,3,tabu_binary,24,1.0,0.0010251570000150423,0.5
11,1,3,tabu_rle,24,0.9166666666666666,0.00616429949999997,0.5
11,1,3,sa_binary,24,1.0,0.000981239000026335,0.5
11,1,3,sa_rle,24,1.0,0.004755203500025118,0.5
11,1,3,basinhop_binary,24,1.0,0.0014008884999725524,0.5
11,1,3,basinhop_rle,24,1.0,0.004729020500008119,0.5
13,3,3,rle_exhaustive,9,1.0,0.00014024399996515058,0.5
13,3,3,binary_exhaustive,24,1.0,0.00012283399999546418,0.5
13,3,3,tabu_binary,24,0.625,0.002006915000038134,0.5
13,3,3,tabu_rle,24,0.2916666666666667,0.003798442000004343,0.5
13,3,3,sa_binary,24,0.9583333333333334,0.0029061650000130612,0.5
13,3,3,sa_rle,24,0.7916666666666666,0.020632116999991013,0.5
13,3,3,basinhop_binary,24,1.0,0.004540446000021348,0.5
13,3,3,basinhop_rle,24,1.0,0.006977250000034019,0.5
15,1,3,rle_exhaustive,9,1.0,0.00029238600006920024,0.5
15,1,3,binary_exhaustive,24,1.0,0.000271254499978113,0.5
15,1,3,tabu_binary,24,0.9583333333333334,0.00430088699999942,0.5
15,1,3,tabu_rle,24,0.5833333333333334,0.007222502499985239,0.5
15,1,3,sa_binary,24,1.0,0.005850280499998917,0.5
15,1,3,sa_rle,24,0.5416666666666666,0.009354694999956337,0.5
15,1,3,basinhop_binary,24,1.0,0.008677464000015789,0.5
15,1,3,basinhop_rle,24,1.0,0.014666345500017997,0.5
17,1,3,rle_exhaustive,9,1.0,0.001246659000003092,0.5
17,1,3,binary_exhaustive,24,1.0,0.0010404265000261148,0.5
17,1,3,tabu_binary,24,0.75,0.005765998499953184,0.5
17,1,3,tabu_rle,24,0.20833333333333334,0.014976269999920078,0.5
17,1,3,sa_binary,24,0.9583333333333334,0.011123311000005742,0.5
17,1,3,sa_rle,24,0.3333333333333333,0.014744232999930773,0.5
17,1,3,basinhop_binary,24,1.0,0.01828046550002682,0.5
17,1,3,basinhop_rle,24,1.0,0.03645945499999925,0.5
19,1,3,rle_exhaustive,9,1.0,0.0032926580000776084,0.5
19,1,3,binary_exhaustive,24,1.0,0.0033807089999982054,0.5
19,1,3,tabu_binary,24,0.125,0.05354085499993744,0.5
19,1,3,tabu_rle,24,0.08333333333333333,0.024568264499976067,0.5
19,1,3,sa_binary,24,0.5,0.0647525159999418,0.5
19,1,3,sa_rle,24,0.125,0.02670415199997933,0.5
19,1,3,basinhop_binary,24,1.0,0.0670036584999707,0.5
19,1,3,basinhop_rle,24,0.8333333333333334,0.07899154450001333,0.5
21,1,3,rle_exhaustive,9,1.0,0.005027310000059515,0.5
21,1,3,binary_exhaustive,24,1.0,0.011418672499985405,0.5
21,1,3,tabu_binary,24,0.08333333333333333,0.001185104000001047,0.5
21,1,3,tabu_rle,24,0.08333333333333333,0.00773820350002552,0.5
21,1,3,sa_binary,24,0.16666666666666666,0.06175929749997522,0.5
21,1,3,sa_rle,24,0.08333333333333333,0.2115593500000159,0.5
21,1,3,basinhop_binary,24,0.9166666666666666,0.07734540199999174,0.5
21,1,3,basinhop_rle,24,0.3333333333333333,0.27526124699994625,0.5
23,3,1,rle_exhaustive,9,1.0,0.04075813100007508,0.5
23,3,1,binary_exhaustive,24,1.0,0.02660502400004816,0.5
23,3,1,tabu_binary,24,0.041666666666666664,0.030522614999995312,0.5
23,3,1,tabu_rle,24,0.0,,0.5
