ell,i,j,method,seeds,success_frac,median_ttf,ceiling
3,2,1,rle_exhaustive,9,1.0,1.2820000847568735e-06,0.5
3,2,1,binary_exhaustive,24,1.0,1.2504999631346436e-06,0.5
3,2,1,tabu_binary,24,0.0,,0.5
3,2,1,tabu_rle,24,0.0,,0.5
3,2,1,sa_binary,24,0.0,,0.5
3,2,1,sa_rle,24,0.0,,0.5
3,2,1,basinhop_binary,24,1.0,0.00024223900004471943,0.5
3,2,1,basinhop_rle,24,1.0,0.00023016649993223837,0.5
5,2,1,rle_exhaustive,9,1.0,9.715000032883836e-06,0.5
5,2,1,binary_exhaustive,24,1.0,9.60900001700793e-06,0.5
5,2,1,tabu_binary,24,1.0,0.00011621700014075032,0.5
5,2,1,tabu_rle,24,1.0,0.0005080374999124615,0.5
5,2,1,sa_binary,24,1.0,0.00011956200000895478,0.5
5,2,1,sa_rle,24,1.0,0.0005239385000095353,0.5
5,2,1,basinhop_binary,24,1.0,0.000473398499934774,0.5
5,2,1,basinhop_rle,24,1.0,0.0005024540002978028,0.5
7,3,1,rle_exhaustive,9,1.0,7.508999715355458e-06,0.5
7,3,1,binary_exhaustive,24,1.0,7.225999752336065e-06,0.5
7,3,1,tabu_binary,24,1.0,0.00013115599995217053,0.5
7,3,1,tabu_rle,24,1.0,0.00025108349996116885,0.5
7,3,1,sa_binary,24,1.0,0.00014071200007492735,0.5
7,3,1,sa_rle,24,1.0,0.0002505565000774368,0.5
7,3,1,basinhop_binary,24,1.0,0.0006414269998913369,0.5
7,3,1,basinhop_rle,24,1.0,0.0007343385002513969,0.5
9,3,1,rle_exhaustive,9,1.0,5.1748000259976834e-05,0.5
9,3,1,binary_exhaustive,24,1.0,4.9296499810225214e-05,0.5
9,3,1,tabu_binary,24,1.0,0.00045854549989599036,0.5
9,3,1,tabu_rle,24,1.0,0.0006501559998923767,0.5
9,3,1,sa_binary,24,1.0,0.00044797350005865155,0.5
9,3,1,sa_rle,24,1.0,0.0006401294999704987,0.5
9,3,1,basinhop_binary,24,1.0,0.0012901790003070346,0.5
9,3,1,basinhop_rle,24,1.0,0.0015937434998249955,0.5
11,3,1,rle_exhaustive,9,1.0,0.0001342149998890818,0.5
11,3,1,binary_exhaustive,24,1.0,0.00011413500010348798,0.5
11,3,1,tabu_binary,24,1.0,0.004987153499996566,0.5
11,3,1,tabu_rle,24,1.0,0.009409223000147904,0.5
11,3,1,sa_binary,24,1.0,0.004665905499905421,0.5
11,3,1,sa_rle,24,1.0,0.006733767000241642,0.5
11,3,1,basinhop_binary,24,1.0,0.004266957500021817,0.5
11,3,1,basinhop_rle,24,1.0,0.009580948499888109,0.5
13,3,1,rle_exhaustive,9,1.0,0.00043327899993528263,0.5
13,3,1,binary_exhaustive,24,1.0,0.0005861674999323441,0.5
13,3,1,tabu_binary,24,1.0,0.008326079500193373,0.5
13,3,1,tabu_rle,24,0.6666666666666666,0.021605155999850467,0.5
13,3,1,sa_binary,24,1.0,0.009345143999780703,0.5
13,3,1,sa_rle,24,0.9166666666666666,0.022683235499926013,0.5
13,3,1,basinhop_binary,24,1.0,0.008516226499978075,0.5
13,3,1,basinhop_rle,24,1.0,0.013728590500249993,0.5
15,3,1,rle_exhaustive,9,1.0,0.0006024729996170208,0.5
15,3,1,binary_exhaustive,24,1.0,0.0010329799999908573,0.5
15,3,1,tabu_binary,24,0.9166666666666666,0.01729423599999791,0.5
15,3,1,tabu_rle,24,0.5416666666666666,0.02076378099991416,0.5
15,3,1,sa_binary,24,1.0,0.009532860500030438,0.5
15,3,1,sa_rle,24,0.4583333333333333,0.022747715000150492,0.5
15,3,1,basinhop_binary,24,1.0,0.012242843000194625,0.5
15,3,1,basinhop_rle,24,1.0,0.0343196965000061,0.5
17,3,1,rle_exhaustive,9,1.0,0.0019141610000588116,0.5
17,3,1,binary_exhaustive,24,1.0,0.0030146010001317336,0.5
17,3,1,tabu_binary,24,0.6666666666666666,0.03288461300007839,0.5
17,3,1,tabu_rle,24,0.16666666666666666,0.014184132500076885,0.5
17,3,1,sa_binary,24,0.9166666666666666,0.031372636500236695,0.5
17,3,1,sa_rle,24,0.4166666666666667,0.058410551500173824,0.5
17,3,1,basinhop_binary,24,1.0,0.026361310000083904,0.5
17,3,1,basinhop_rle,24,1.0,0.06864271099993857,0.5
19,4,1,rle_exhaustive,9,1.0,0.007300838999981352,0.5
19,4,1,binary_exhaustive,24,1.0,0.004151354499981608,0.5
19,4,1,tabu_binary,24,0.125,0.026417187999868474,0.5
19,4,1,tabu_rle,24,0.041666666666666664,0.01638805799984766,0.5
19,4,1,sa_binary,24,0.5416666666666666,0.06760037499998361,0.5
19,4,1,sa_rle,24,0.16666666666666666,0.11584792000007837,0.5
19,4,1,basinhop_binary,24,0.9583333333333334,0.07692179500008933,0.5
19,4,1,basinhop_rle,24,0.625,0.140375603999928,0.5
21,4,1,rle_exhaustive,9,1.0,0.014667646999896533,0.5
21,4,1,binary_exhaustive,24,1.0,0.010519381000221983,0.5
21,4,1,tabu_binary,24,0.08333333333333333,0.02134558200009451,0.5
21,4,1,tabu_rle,24,0.08333333333333333,0.17706114850034282,0.5
21,4,1,sa_binary,24,0.08333333333333333,0.03315340450012627,0.5
21,4,1,sa_rle,24,0.08333333333333333,0.06566508750006506,0.5
21,4,1,basinhop_binary,24,0.9166666666666666,0.11581233749984676,0.5
21,4,1,basinhop_rle,24,0.16666666666666666,0.12400591000005079,0.5
23,4,1,rle_exhaustive,9,1.0,0.03306762700003674,0.5
23,4,1,binary_exhaustive,24,1.0,0.03250144950015965,0.5
23,4,1,tabu_binary,24,0.041666666666666664,0.008913913000014873,0.5
23,4,1,tabu_rle,24,0.0,,0.5
23,4,1,sa_binary,24,0.0,,0.5
23,4,1,sa_rle,24,0.0,,0.5
23,4,1,basinhop_binary,24,0.5,0.21009959499997422,0.5
23,4,1,basinhop_rle,24,0.16666666666666666,0.4364212315001623,0.5
