ell,r,n,trials,solved,success_rate,median_evals,step2_entered,solved_in_step2
5,256,1,10,10,1.000,256,0,0
5,256,2,10,10,1.000,256,0,0
5,256,3,10,10,1.000,256,0,0
5,256,4,10,10,1.000,256,0,0
5,1024,1,10,10,1.000,1024,0,0
5,1024,2,10,10,1.000,1024,0,0
5,1024,3,10,10,1.000,1024,0,0
5,1024,4,10,10,1.000,1024,0,0
7,256,1,10,10,1.000,256,0,0
7,256,2,10,10,1.000,256,0,0
7,256,3,10,10,1.000,256,0,0
7,256,4,10,10,1.000,256,0,0
7,1024,1,10,10,1.000,1024,0,0
7,1024,2,10,10,1.000,1024,0,0
7,1024,3,10,10,1.000,1024,0,0
7,1024,4,10,10,1.000,1024,0,0
9,256,1,10,10,1.000,256,0,0
9,256,2,10,10,1.000,256,0,0
9,256,3,10,10,1.000,256,0,0
9,256,4,10,10,1.000,256,0,0
9,1024,1,10,10,1.000,1024,0,0
9,1024,2,10,10,1.000,1024,0,0
9,1024,3,10,10,1.000,1024,0,0
9,1024,4,10,10,1.000,1024,0,0
11,256,1,10,10,1.000,256,0,0
11,256,2,10,10,1.000,256,0,0
11,256,3,10,10,1.000,256,0,0
11,256,4,10,10,1.000,256,0,0
11,1024,1,10,10,1.000,1024,0,0
11,1024,2,10,10,1.000,1024,0,0
11,1024,3,10,10,1.000,1024,0,0
11,1024,4,10,10,1.000,1024,0,0
13,256,1,10,10,1.000,256,0,0
13,256,2,10,10,1.000,256,0,0
13,256,3,10,10,1.000,256,0,0
13,256,4,10,10,1.000,256,0,0
13,1024,1,10,10,1.000,1024,0,0
13,1024,2,10,10,1.000,1024,0,0
13,1024,3,10,10,1.000,1024,0,0
13,1024,4,10,10,1.000,1024,0,0
15,256,1,10,10,1.000,1792,0,0
15,256,2,10,10,1.000,1792,0,0
15,256,3,10,10,1.000,1792,0,0
15,256,4,10,10,1.000,1792,0,0
15,1024,1,10,10,1.000,1024,0,0
15,1024,2,10,10,1.000,1024,0,0
15,1024,3,10,10,1.000,1024,0,0
15,1024,4,10,10,1.000,1024,0,0
17,256,1,10,10,1.000,2816,0,0
17,256,2,10,10,1.000,2816,0,0
17,256,3,10,10,1.000,2816,0,0
17,256,4,10,10,1.000,2816,0,0
17,1024,1,10,10,1.000,4096,0,0
17,1024,2,10,10,1.000,4096,0,0
17,1024,3,10,10,1.000,4096,0,0
17,1024,4,10,10,1.000,4096,0,0
19,256,1,10,6,0.600,30848,0,0
19,256,2,10,6,0.600,30848,0,0
19,256,3,10,6,0.600,30848,0,0
19,256,4,10,6,0.600,30848,0,0
19,1024,1,10,10,1.000,55808,0,0
19,1024,2,10,10,1.000,55808,0,0
19,1024,3,10,10,1.000,55808,0,0
19,1024,4,10,10,1.000,55808,0,0
