n,solver,rep,total_classes,succ_base,succ_reg,ttf_base,ttf_reg,classes_base,classes_reg,recovered_base,recovered_reg
19,sa,rle,9,0.22,0.19,0.017283351999992647,0.04930470600004355,7,6,0.7777777777777778,0.6666666666666666
19,sa,binary,9,0.97,0.99,0.024739015000022846,0.03704872599996634,7,6,0.7777777777777778,0.6666666666666666
19,basinhop,rle,9,0.98,1.0,0.05781845249998696,0.06870596099997783,8,8,0.8888888888888888,0.8888888888888888
19,basinhop,binary,9,1.0,1.0,0.024820469499900355,0.0226332890000549,8,9,0.8888888888888888,1.0
21,sa,rle,22,0.12,0.09,0.028003595999962272,0.24426102799998262,9,6,0.4090909090909091,0.2727272727272727
21,sa,binary,22,0.48,0.46,0.06467760699990777,0.1363002675000189,15,12,0.6818181818181818,0.5454545454545454
21,basinhop,rle,22,0.7,0.79,0.15814897099994596,0.15572288200019102,19,18,0.8636363636363636,0.8181818181818182
21,basinhop,binary,22,0.93,0.99,0.0721300400000473,0.05772358500007613,22,21,1.0,0.9545454545454546
23,sa,rle,28,0.03,0.1,0.012972028999911345,0.03294283200011705,3,9,0.10714285714285714,0.32142857142857145
23,sa,binary,28,0.15,0.08,0.010442547999900853,0.018083574499996757,9,6,0.32142857142857145,0.21428571428571427
23,basinhop,rle,28,0.29,0.34,0.2049780299998929,0.3302519014999916,19,18,0.6785714285714286,0.6428571428571429
23,basinhop,binary,28,0.78,0.72,0.09605634449997069,0.12890302150003663,25,22,0.8928571428571429,0.7857142857142857
25,sa,rle,46,0.0,0.02,nan,0.13647723300016423,0,2,0.0,0.043478260869565216
25,sa,binary,46,0.02,0.01,0.007929552499945203,0.022548400000232505,2,1,0.043478260869565216,0.021739130434782608
25,basinhop,rle,46,0.08,0.08,0.22812633750004352,0.3196765350003261,8,7,0.17391304347826086,0.15217391304347827
25,basinhop,binary,46,0.28,0.29,0.16403045099991687,0.19532411799991678,19,21,0.41304347826086957,0.45652173913043476
